SiteCode,Meas,Date,Year,DayN,DayZ,Collector,Depth,PlateCode,MeasCode,Daysafterdeploy,DaysPerMeasure,PercentCiona,MinTemp,MaxTemp,MinSal,MaxSal,MinpH,MaxpH,MinVarAccel,MaxVarAccel,AvgSal,AvgTemp,AvgpH,VarAccel,MeanPercentCiona2014,MeanPercentCiona2015
CC,1,6/07/2014,14,157,157,1,A,CC_1A_14,CC_1A_14_1,35,35,0,7.499513889,13.75322835,NA,NA,8.091614173,8.210017361,NA,NA,NA,10.56348,8.1424738,NA,72.6925,64.90066667
CC,1,6/07/2014,14,157,157,1,B,CC_1B_14,CC_1B_14_1,35,35,0,7.499513889,13.75322835,NA,NA,8.091614173,8.210017361,NA,NA,NA,10.56348,8.1424738,NA,72.6925,64.90066667
CC,1,6/07/2014,14,157,157,1,C,CC_1C_14,CC_1C_14_1,35,35,0,7.499513889,13.75322835,NA,NA,8.091614173,8.210017361,NA,NA,NA,10.56348,8.1424738,NA,72.6925,64.90066667
CC,1,6/07/2014,14,157,157,3,A,CC_3A_14,CC_3A_14_1,35,35,0,7.499513889,13.75322835,NA,NA,8.091614173,8.210017361,NA,NA,NA,10.56348,8.1424738,NA,72.6925,64.90066667
CC,1,6/07/2014,14,157,157,3,B,CC_3B_14,CC_3B_14_1,35,35,0,7.499513889,13.75322835,NA,NA,8.091614173,8.210017361,NA,NA,NA,10.56348,8.1424738,NA,72.6925,64.90066667
CC,1,6/07/2014,14,157,157,3,C,CC_3C_14,CC_3C_14_1,35,35,0,7.499513889,13.75322835,NA,NA,8.091614173,8.210017361,NA,NA,NA,10.56348,8.1424738,NA,72.6925,64.90066667
CC,1,6/07/2014,14,157,157,4,A,CC_4A_14,CC_4A_14_1,35,35,0,7.499513889,13.75322835,NA,NA,8.091614173,8.210017361,NA,NA,NA,10.56348,8.1424738,NA,72.6925,64.90066667
CC,2,7/04/2014,14,184,184,1,A,CC_1A_14,CC_1A_14_2,62,27,49.38,14.00645833,17.28210526,31.32765986,31.87402986,8.032675188,8.102730556,NA,NA,31.66153,15.51233,8.07435461,NA,72.6925,64.90066667
CC,2,7/04/2014,14,184,184,1,B,CC_1B_14,CC_1B_14_2,62,27,47.06,14.00645833,17.28210526,31.32765986,31.87402986,8.032675188,8.102730556,NA,NA,31.66153,15.51233,8.07435461,NA,72.6925,64.90066667
CC,2,7/04/2014,14,184,184,1,C,CC_1C_14,CC_1C_14_2,62,27,79.07,14.00645833,17.28210526,31.32765986,31.87402986,8.032675188,8.102730556,NA,NA,31.66153,15.51233,8.07435461,NA,72.6925,64.90066667
CC,2,7/04/2014,14,184,184,3,A,CC_3A_14,CC_3A_14_2,62,27,57.95,14.00645833,17.28210526,31.32765986,31.87402986,8.032675188,8.102730556,NA,NA,31.66153,15.51233,8.07435461,NA,72.6925,64.90066667
CC,2,7/04/2014,14,184,184,3,B,CC_3B_14,CC_3B_14_2,62,27,57.47,14.00645833,17.28210526,31.32765986,31.87402986,8.032675188,8.102730556,NA,NA,31.66153,15.51233,8.07435461,NA,72.6925,64.90066667
CC,2,7/04/2014,14,184,184,3,C,CC_3C_14,CC_3C_14_2,62,27,58,14.00645833,17.28210526,31.32765986,31.87402986,8.032675188,8.102730556,NA,NA,31.66153,15.51233,8.07435461,NA,72.6925,64.90066667
CC,2,7/04/2014,14,184,184,4,A,CC_4A_14,CC_4A_14_2,62,27,68,14.00645833,17.28210526,31.32765986,31.87402986,8.032675188,8.102730556,NA,NA,31.66153,15.51233,8.07435461,NA,72.6925,64.90066667
CC,3,8/01/2014,14,212,212,1,A,CC_1A_14,CC_1A_14_3,90,28,100,16.89722222,18.26770833,30.4804293,31.71290076,7.96210828,8.050083333,0.000559114,0.000930651,30.88986,17.59668,8.01314544,0.00061116,72.6925,64.90066667
CC,3,8/01/2014,14,212,212,1,B,CC_1B_14,CC_1B_14_3,90,28,100,16.89722222,18.26770833,30.4804293,31.71290076,7.96210828,8.050083333,0.000559114,0.000930651,30.88986,17.59668,8.01314544,0.00061116,72.6925,64.90066667
CC,3,8/01/2014,14,212,212,1,C,CC_1C_14,CC_1C_14_3,90,28,100,16.89722222,18.26770833,30.4804293,31.71290076,7.96210828,8.050083333,0.000559114,0.000930651,30.88986,17.59668,8.01314544,0.00061116,72.6925,64.90066667
CC,3,8/01/2014,14,212,212,3,A,CC_3A_14,CC_3A_14_3,90,28,100,16.89722222,18.26770833,30.4804293,31.71290076,7.96210828,8.050083333,0.000559114,0.000930651,30.88986,17.59668,8.01314544,0.00061116,72.6925,64.90066667
CC,3,8/01/2014,14,212,212,3,B,CC_3B_14,CC_3B_14_3,90,28,100,16.89722222,18.26770833,30.4804293,31.71290076,7.96210828,8.050083333,0.000559114,0.000930651,30.88986,17.59668,8.01314544,0.00061116,72.6925,64.90066667
